,address,check_in_date,check_out_date,has_laundry_service,number_of_adults,phone_number,rating,total_price,where_to
4856,"191 O'Riordan Street, Mascot New South Wales 2020, Australia",,,True,1,+61 2 8398 4600,4.40,580,Sydney
4857,27 O'Connell Street,,,True,1,+61 2 8214 0000,4.40,125,Sydney
4858,300 Kent Street,,,True,1,+61 2 9052 7588,4.40,2688,Sydney
4859,"33 Cross Street, Double Bay",,,False,1,+61 2 8388 8388,4.40,3640,Sydney
4860,35 Mountain Street,,,True,1,+61 2 8379 7880,4.40,1080,Sydney
4861,"139 Murray Street, Pyrmont New South Wales 2009, Australia",2019-03-07,2019-03-10,True,1,+61 2 8586 1888,4.40,1860,Sydney
4862,9801 Airport Boulevard,2019-03-01,2019-03-06,True,1,+1 310-215-1000,4.30,1440,Los Angeles
4863,10 East Thomas Road,,,True,1,+1 602-222-1111,4.40,84,Phoenix
4864,15 East Monroe Street,,,True,3,+1 602-343-0006,4.40,1296,Phoenix
4865,"15620 North Clubgate Drive, Scottsdale, Arizona 85254, United States",,,True,3,+1 480-624-1700,4.40,1920,Phoenix
4866,2 East Jefferson Street,,,True,1,+1 602-253-6633,4.40,348,Phoenix
4867,2335 West Pinnacle Peak Road,,,True,4,+1 623-879-8800,4.40,1980,Phoenix
4868,2811 East Camelback Road,,,True,5,+1 602-852-6500,4.40,810,Phoenix
4869,333 North Central Avenue,,,True,5,+1 602-429-3500,4.40,800,Phoenix
4870,4415 East Paradise Village Parkway South,,,True,2,+1 602-765-5800,4.40,900,Phoenix
4871,5220 East Marriott Drive,,,False,1,+1 480-629-3200,4.40,720,Phoenix
4872,"6302 East Camelback Road, Scottsdale, Arizona 85251, United States",,,True,2,+1 480-947-3300,4.40,456,Phoenix
4873,"6302 East Camelback Road, Scottsdale, Arizona 85251, United States",2019-03-02,2019-03-06,True,2,+1 480-947-3300,4.40,456,Phoenix
4874,11 Jamison Street,,,True,2,+61 2 9696 2500,4.40,2520,Sydney
4875,631-635 George Street,2019-03-07,2019-03-13,True,1,+61 2 9265 8888,3.80,522,Sydney
4876,1020 South Figueroa Street,,,True,3,+1 213-748-1291,3.90,594,Los Angeles
4877,10320 West Olympic Boulevard,,,True,5,+1 310-556-2777,3.90,1215,Los Angeles
4878,10740 Wilshire Boulevard,,,True,4,+1 310-475-8711,3.90,2912,Los Angeles
4879,"111 South Gaffey Street, San Pedro, CA 90731, USA",,,True,1,+1 310-514-1414,3.90,420,Los Angeles
4880,"1133 Vine Street, Hollywood, CA 90038, USA",,,True,3,+1 323-952-6900,3.90,972,Los Angeles
4881,"11350 Burbank Boulevard, North Hollywood, California 91601, United States",,,True,2,+1 818-821-8031,3.90,384,Los Angeles
4882,115 South Fairfax Avenue,,,True,3,+1 323-937-3930,3.90,1170,Los Angeles
4883,1150 South Beverly Drive,,,True,1,+1 310-553-6561,3.90,496,Los Angeles
4884,1224 Beverwil Drive,,,True,2,+1 877-334-5623,3.90,1152,Los Angeles
4885,"13480 Maxella Avenue, Marina del Rey, CA 90292, USA",,,True,1,+1 310-822-8555,3.90,336,Los Angeles
4886,"737 Washington Boulevard, Venice, California 90292, United States",2019-03-05,2019-03-08,False,1,+1 310-821-4455,3.90,414,Los Angeles
4887,1224 Beverwil Drive,2019-03-04,2019-03-08,True,1,+1 877-334-5623,4.30,1152,Los Angeles
4888,276 Canal Street,2019-03-08,2019-03-12,True,2,+1 212-941-6106,3.80,456,New York
4889,"37, Jalan Thambipillay, Brickfields, 50470",2019-03-02,2019-03-04,True,1,+60 3-2274 9000,3.80,540,Kuala Lumpur
4890,18-24 Belgrave Road,2019-03-06,2019-03-10,True,3,+44 20 7233 6636,3.50,828,London
4891,"1, Jalan 2/142a, Taman Len Seng, 56000 Kuala Lumpur, Wilayah Persekutuan",,,True,2,+60 3-9100 1133,3.70,1160,Kuala Lumpur
4892,"1, Jalan Pantai Jaya Tower 3, 59200",,,True,2,+60 3-2298 1888,4.20,1620,Kuala Lumpur
4893,"1, Lorong Ceylon, Bukit Ceylon, 50200 Kuala Lumpur, Wilayah Persekutuan",,,True,2,+60 3-2386 9288,4.20,680,Kuala Lumpur
4894,"10, Jalan Binjai, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan",,,True,2,+60 3-7490 3333,4.20,1104,Kuala Lumpur
4895,"10, Jalan Tun Sambanthan, Brickfields, 50470",,,True,2,+60 3-2273 1222,3.80,1215,Kuala Lumpur
4896,"10, Lorong P Ramlee, Kuala Lumpur, 50250",,,True,2,+60 3-2726 6788,4.30,1296,Kuala Lumpur
4897,"102-106, Jalan Imbi, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan",,,False,2,+60 3-2856 7257,4.00,1344,Kuala Lumpur
4898,"1020, Jalan Sultan Ismail, 50250",,,True,2,+60 3-2168 1688,4.50,2375,Kuala Lumpur
4899,"12, Jalan Raja Laut, Chow Kit, 50350",,,True,2,+60 3-2614 8000,3.60,264,Kuala Lumpur
4900,"120, Jalan Pudu, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan",,,True,2,+60 3-2143 5000,3.70,300,Kuala Lumpur
4901,"Titiwangsa, 53200",2019-03-10,2019-03-14,True,2,+60 3-2688 1888,3.80,1260,Kuala Lumpur
4902,10740 Wilshire Boulevard,,,True,4,+1 310-475-8711,4.10,2912,Los Angeles
4903,"1133 Vine Street, Hollywood, CA 90038, USA",,,True,4,+1 323-952-6900,4.10,576,Los Angeles
4904,"11350 Burbank Boulevard, North Hollywood, California 91601, United States",,,True,4,+1 818-821-8031,4.10,720,Los Angeles
4905,115 South Fairfax Avenue,,,True,4,+1 323-937-3930,4.10,1320,Los Angeles
4906,1150 South Beverly Drive,,,True,4,+1 310-553-6561,4.10,420,Los Angeles
4907,1224 Beverwil Drive,,,True,4,+1 877-334-5623,4.10,2200,Los Angeles
4908,"13480 Maxella Avenue, Marina del Rey, CA 90292, USA",,,True,4,+1 310-822-8555,4.10,300,Los Angeles
4909,1020 South Figueroa Street,,,True,4,+1 213-748-1291,3.60,315,Los Angeles
4910,10320 West Olympic Boulevard,,,True,4,+1 310-556-2777,3.60,1215,Los Angeles
4911,10740 Wilshire Boulevard,,,True,4,+1 310-475-8711,3.60,2912,Los Angeles
4912,"111 South Gaffey Street, San Pedro, CA 90731, USA",,,True,4,+1 310-514-1414,3.60,2625,Los Angeles
4913,"1133 Vine Street, Hollywood, CA 90038, USA",,,True,4,+1 323-952-6900,3.60,576,Los Angeles
4914,"11350 Burbank Boulevard, North Hollywood, California 91601, United States",,,True,4,+1 818-821-8031,3.60,720,Los Angeles
4915,115 South Fairfax Avenue,,,True,4,+1 323-937-3930,3.60,1320,Los Angeles
4916,1150 South Beverly Drive,,,True,4,+1 310-553-6561,3.60,420,Los Angeles
4917,1224 Beverwil Drive,,,True,4,+1 877-334-5623,3.60,2200,Los Angeles
4918,1020 South Figueroa Street,,,True,1,+1 213-748-1291,3.60,594,Los Angeles
4919,10320 West Olympic Boulevard,,,True,1,+1 310-556-2777,3.60,1215,Los Angeles
4920,10740 Wilshire Boulevard,,,True,1,+1 310-475-8711,3.60,2912,Los Angeles
4921,"111 South Gaffey Street, San Pedro, CA 90731, USA",,,True,1,+1 310-514-1414,3.60,420,Los Angeles
4922,"1133 Vine Street, Hollywood, CA 90038, USA",,,True,1,+1 323-952-6900,3.60,972,Los Angeles
4923,"11350 Burbank Boulevard, North Hollywood, California 91601, United States",,,True,1,+1 818-821-8031,3.60,384,Los Angeles
4924,115 South Fairfax Avenue,,,True,1,+1 323-937-3930,3.60,1170,Los Angeles
4925,1150 South Beverly Drive,,,True,1,+1 310-553-6561,3.60,496,Los Angeles
4926,"111 South Gaffey Street, San Pedro, CA 90731, USA",2019-03-07,2019-03-14,True,1,+1 310-514-1414,3.60,2625,Los Angeles
4927,1150 Northwest 9th Avenue,,,True,3,+1 503-220-1339,4.20,1188,Portland
4928,12226 North Jantzen Drive,,,True,4,+1 503-283-3030,4.20,228,Portland
4929,1355 Southwest 2nd Avenue,,,True,3,+1 503-306-4800,4.20,1800,Portland
4930,1510 Southwest Harbor Way,,,True,4,+1 503-228-3233,4.20,2304,Portland
4931,2025 Northwest Northrup Street,,,True,5,+1 800-224-1180,4.20,1080,Portland
4932,203 Northwest 3rd Avenue,,,True,5,+1 503-445-0444,4.20,3500,Portland
4933,2080 Southwest River Drive,,,True,3,+1 503-241-2775,4.20,1035,Portland
4934,8235 Northeast Airport Way,2019-03-02,2019-03-09,True,2,+1 503-281-2500,4.20,2520,Portland
4935,"8 Rue de Verneuil, 75007",2019-03-02,2019-03-05,True,2,+33 1 42 60 82 14,4.20,1800,Paris
4936,"110 Cumberland Street, The Rocks New South Wales 2000, Australia",2019-03-05,2019-03-12,True,1,+61 2 8272 0900,4.50,2205,Sydney
4937,1 Logan Square,,,True,1,+1 215-963-1500,4.10,1575,Philadelphia
4938,1001 Intrepid Avenue,,,True,1,+1 215-644-9200,4.10,114,Philadelphia
4939,101 North Broad Street,,,False,1,+1 215-607-2020,4.10,2160,Philadelphia
4940,1100 Arch Street,,,True,1,+1 215-923-0100,4.10,1350,Philadelphia
4941,120 South 17th Street,,,True,1,+1 215-569-8300,4.10,360,Philadelphia
4942,1200 Arch Street,,,True,1,+1 215-627-1850,4.10,540,Philadelphia
4943,1301 Race Street,,,True,1,+1 215-665-9100,4.10,696,Philadelphia
4944,135 South 18th Street,,,True,1,+1 215-825-7000,4.10,2208,Philadelphia
4945,1355 North Front Street,,,False,1,+1 215-291-1355,4.10,372,Philadelphia
4946,3549 Chestnut Street,2019-03-10,2019-03-12,True,1,+1 215-387-8000,4.10,816,Philadelphia
4947,125 South Festival Drive,,,True,1,+1 714-974-8880,4.30,1596,Anaheim
4948,1570 South Harbor Boulevard,2019-03-13,2019-03-14,True,1,+1 714-772-3691,4.40,124,Anaheim
4949,"10601 North 56th Street, Scottsdale, Arizona 85254, United States",2019-03-01,2019-03-05,True,2,+1 480-948-6100,4.30,1632,Phoenix
4950,44 West 29th Street,2019-03-06,2019-03-13,True,2,+1 212-213-4429,4.40,840,New York
4951,10 East Thomas Road,,,True,1,+1 602-222-1111,4.10,84,Phoenix
4952,"10601 North 56th Street, Scottsdale, Arizona 85254, United States",,,True,4,+1 480-948-6100,4.10,1632,Phoenix
4953,10838 North 25th Avenue,,,True,1,+1 602-997-8800,4.10,672,Phoenix
4954,1101 North 44th Street,,,True,3,+1 602-273-7373,4.10,1350,Phoenix
4955,132 South Central Avenue,,,True,2,+1 602-603-2001,4.10,1044,Phoenix
4956,15 East Monroe Street,,,True,3,+1 602-343-0006,4.10,1296,Phoenix
4957,"15620 North Clubgate Drive, Scottsdale, Arizona 85254, United States",,,True,3,+1 480-624-1700,4.10,1920,Phoenix
4958,"16620 North Scottsdale Road, Scottsdale, AZ 85254, USA",,,True,1,+1 480-348-9280,4.10,540,Phoenix
4959,2 East Jefferson Street,,,True,1,+1 602-253-6633,4.10,348,Phoenix
4960,2335 West Pinnacle Peak Road,,,True,4,+1 623-879-8800,4.10,1980,Phoenix
4961,427 North 44th Street,2019-03-06,2019-03-13,True,1,+1 602-220-4400,4.10,1344,Phoenix
4962,1 Silvertown Way,,,True,1,+44 20 7540 4040,3.90,2700,London
4963,1 Suffolk Place,,,True,1,+44 20 7470 4000,4.60,870,London
4964,1 Waterview Drive,,,True,1,+44 20 8463 6868,4.60,276,London
4965,"1-15, Templeton Place",,,True,1,+44 20 7598 8700,4.40,936,London
4966,"Hyde Park, 8-14 Talbot Square",2019-03-09,2019-03-14,True,1,+44 20 7262 6699,4.20,400,London
4967,63 West 35th Street,2019-03-08,2019-03-14,True,2,+1 212-594-3310,4.20,684,New York
4968,138 King Street,,,True,2,+1 415-200-4977,4.40,2500,San Francisco
4969,340 Stockton Street,,,True,2,+1 415-781-5555,4.40,1392,San Francisco
4970,494 Broadway,,,True,2,+1 415-834-1000,4.40,114,San Francisco
4971,340 Stockton Street,2019-03-13,2019-03-14,True,2,+1 415-781-5555,4.40,432,San Francisco
4972,38-51 Bedford Way,2019-03-05,2019-03-10,True,2,+44 20 7637 2488,3.30,1440,London
4973,"Cours D'Honneur De La Gare De L'Est, 4 Rue du 8 Mai 1945, 75010",2019-03-05,2019-03-08,False,2,+33 1 44 89 27 00,3.20,1575,Paris
4974,35 14th Street Northeast,2019-03-06,2019-03-10,True,2,+1 404-876-8888,4.20,1152,Atlanta
4975,5216 Ballard Avenue Northwest,,,True,1,+1 206-789-5012,4.50,336,Seattle
4976,255 South King Street,2019-03-08,2019-03-10,True,2,+1 206-859-4400,4.50,396,Seattle
4977,1000 1st Avenue,,,True,2,+1 206-957-1000,4.50,1920,Seattle
4978,1006 Spring Street,,,False,2,+1 206-583-6453,3.90,1848,Seattle
4979,1007 1st Avenue,,,True,2,+1 206-624-4844,4.50,3136,Seattle
4980,1016 Republican Street,,,False,2,+1 206-708-8200,4.10,1680,Seattle
4981,1046 1st Avenue South,,,True,2,+1 206-204-9800,4.30,1596,Seattle
4982,105 Pike Street,,,True,2,+1 206-340-1222,4.40,272,Seattle
4983,1100 5th Avenue,,,True,2,+1 206-624-8000,4.40,1000,Seattle
4984,1101 4th Avenue,,,True,2,+1 206-621-1770,4.40,3808,Seattle
4985,2000 4th Avenue,2019-03-09,2019-03-11,True,2,+1 206-448-8600,4.50,528,Seattle
4986,111 Lombard Street,,,True,1,+1 416-367-5555,3.90,558,Toronto
4987,118 Yorkville Avenue,,,True,1,+1 416-963-6300,4.70,2430,Toronto
4988,"135 Carlingview Drive, Etobicoke, Ontario M9W 5E7, Canada",,,True,1,+1 416-637-7000,4.00,360,Toronto
4989,15 Richmond Street East,,,True,1,+1 416-368-1990,4.20,600,Toronto
4990,"1790 Albion Road, Etobicoke, Ontario M9V 4J8, Canada",,,True,1,+1 416-747-7676,4.20,612,Toronto
4991,181 Wellington Street West,,,True,1,+1 416-585-2500,4.60,1400,Toronto
4992,"20 Milner Business Court, Scarborough, Ontario M1B 3C6, Canada",,,True,1,+1 416-299-9500,3.30,396,Toronto
4993,"950 Dixon Road, Etobicoke, Ontario M9W 5N4, Canada",2019-03-06,2019-03-07,True,1,+1 416-675-9444,4.20,132,Toronto
4994,1000 1st Avenue,,,True,1,+1 206-957-1000,4.50,1920,Seattle
4995,1007 1st Avenue,,,True,1,+1 206-624-4844,4.50,3136,Seattle
4996,1815 Terry Avenue,,,True,1,+1 206-388-1000,4.50,792,Seattle
4997,2000 4th Avenue,,,True,1,+1 206-448-8600,4.50,1044,Seattle
4998,255 South King Street,,,True,1,+1 206-859-4400,4.50,1386,Seattle
4999,300 Roy Street,,,True,1,+1 877-298-9728,4.50,372,Seattle
5000,4501 12th Avenue Northeast,,,True,1,+1 206-322-8887,4.50,414,Seattle
5001,3926 Aurora Avenue,2019-03-04,2019-03-07,True,1,+1 206-632-1015,4.50,252,Seattle
5002,425 Northwest 9th Avenue,,,True,1,+1 971-351-0230,4.70,336,Portland
5003,425 Northwest 9th Avenue,2019-03-06,2019-03-13,True,1,+1 971-351-0230,4.70,784,Portland
5004,"4222 Vineland Avenue, North Hollywood, CA 91602, USA",2019-03-08,2019-03-12,True,3,+1 818-980-8000,4.40,2040,Los Angeles
5005,1095 Market Street,,,True,1,+1 415-829-0000,3.50,2100,San Francisco
5006,"1100 Market Street Hotel entrance is at, 45 McAllister Street",,,True,1,+1 415-735-7777,3.50,384,San Francisco
5007,12 4th Street,,,True,1,+1 415-348-1111,3.50,832,San Francisco
5008,138 King Street,,,True,1,+1 415-200-4977,3.50,2500,San Francisco
5009,155 Steuart Street,,,True,1,+1 415-495-2100,3.50,684,San Francisco
5010,161 Powell Street,,,True,1,+1 415-362-1600,3.50,126,San Francisco
5011,1800 Sutter Street,,,True,1,+1 415-921-4000,3.50,2100,San Francisco
5012,2222 Market Street,,,True,1,+1 415-621-8212,3.50,528,San Francisco
5013,2237 Mason Street,,,True,1,+1 415-776-8688,3.50,240,San Francisco
5014,494 Broadway,2019-03-03,2019-03-10,True,1,+1 415-834-1000,4.50,182,San Francisco
5015,"106 Hassall Street, Rosehill New South Wales 2142, Australia",,,True,1,+61 2 8836 1000,4.00,912,Sydney
5016,11 Jamison Street,,,True,1,+61 2 9696 2500,4.40,2520,Sydney
5017,27 O'Connell Street,2019-03-03,2019-03-04,True,1,+61 2 8214 0000,4.50,125,Sydney
5018,1006 Spring Street,,,False,1,+1 206-583-6453,3.90,1848,Seattle
5019,1011 Pike Street,,,True,1,+1 206-682-8282,4.30,180,Seattle
5020,1016 Republican Street,,,False,1,+1 206-708-8200,4.10,1680,Seattle
5021,110 Stewart Street,,,True,1,+1 206-623-4600,4.40,528,Seattle
5022,1100 5th Avenue,,,True,1,+1 206-624-8000,4.40,1000,Seattle
5023,300 Roy Street,2019-03-03,2019-03-04,True,1,+1 877-298-9728,4.50,372,Seattle
5024,4450 East Washington Street,2019-03-06,2019-03-08,True,1,+1 602-275-6300,4.30,576,Phoenix
5025,118 North Jefferson Street,2019-03-06,2019-03-08,True,1,+1 312-930-0000,4.60,504,Chicago
5026,1215 South Las Vegas Boulevard,,,True,1,+1 702-489-7500,3.40,504,Las Vegas
5027,1236 South Las Vegas Boulevard,,,False,1,+1 702-380-6902,3.40,660,Las Vegas
5028,7100 Cascade Valley Court,,,True,1,+1 702-360-5700,3.40,126,Las Vegas
5029,8669 West Sahara Avenue,,,True,1,+1 702-256-3766,3.40,630,Las Vegas
5030,1236 South Las Vegas Boulevard,2019-03-03,2019-03-05,False,1,+1 702-380-6902,3.40,76,Las Vegas
5031,"Cira Centre South, 2929 Walnut Street",2019-03-09,2019-03-12,True,2,+1 215-372-9000,4.50,945,Philadelphia
5032,2121 South Prairie Avenue,2019-03-09,2019-03-10,True,1,+1 312-824-0500,4.60,112,Chicago
5033,1065 Peachtree Street Northeast,,,True,2,+1 404-745-5000,4.30,4200,Atlanta
5034,1414 West Peachtree Street Northwest,,,True,2,+1 404-685-1677,4.30,2240,Atlanta
5035,230 Peachtree Street,,,True,2,+1 404-523-7600,4.30,1701,Atlanta
5036,3391 Peachtree Road N.E,,,True,2,+1 404-365-0065,4.30,1500,Atlanta
5037,3434 Peachtree Road Northeast,,,True,2,+1 404-237-2700,4.30,3570,Atlanta
5038,3600 Wieuca Road Northeast,,,True,2,+1 470-231-3030,4.30,272,Atlanta
5039,48 13th Street Northeast,,,True,2,+1 404-249-9446,4.30,1044,Atlanta
5040,800 Spring Street Northwest,,,True,2,+1 404-347-9440,4.30,435,Atlanta
5041,"Eighty-Eight, West Paces Ferry Road Northwest",,,True,2,+1 404-563-7900,4.30,2100,Atlanta
5042,3600 Wieuca Road Northeast,2019-03-13,2019-03-14,True,2,+1 470-231-3030,4.30,228,Atlanta
5043,3434 Peachtree Road Northeast,2019-03-03,2019-03-05,True,3,+1 404-237-2700,4.40,1000,Atlanta
5044,100 Shoreditch High Street,2019-03-03,2019-03-06,True,2,+44 20 7613 9800,4.30,504,London
5045,"1 Military Road, Watsons Bay New South Wales 2030, Australia",,,False,1,+61 2 9337 5444,4.20,240,Sydney
5046,"1 Salisbury Road, Castle Hill New South Wales 2154, Australia",,,True,1,+61 2 9680 3800,4.20,2400,Sydney
5047,"10 Atchison Street, St Leonards New South Wales 2065, Australia",,,True,1,+61 2 8425 0400,4.20,864,Sydney
5048,"100 Marsden Street, Parramatta New South Wales 2150, Australia",,,False,1,+61 2 9633 9898,4.20,720,Sydney
5049,11 Jamison Street,,,True,1,+61 2 9696 2500,4.20,2520,Sydney
5050,"110 Cumberland Street, The Rocks New South Wales 2000, Australia",,,True,1,+61 2 8272 0900,4.20,2205,Sydney
5051,"118 Percival Road, Stanmore New South Wales 2048, Australia",,,False,1,+61 2 9569 1013,4.20,198,Sydney
5052,"12 Carabella Street, Kirribilli New South Wales 2061, Australia",,,False,1,+61 2 9955 1685,4.20,3720,Sydney
5053,"118 Percival Road, Stanmore New South Wales 2048, Australia",2019-03-06,2019-03-07,False,1,+61 2 9569 1013,4.20,198,Sydney
5054,"29-11 39th Avenue, Long Island City",2019-03-02,2019-03-03,False,1,+1 718-440-9933,3.60,510,New York
5055,"102-40 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,True,2,+1 718-672-6600,4.00,945,New York
5056,1033 6th Avenue,,,True,2,+1 212-768-0007,4.00,1860,New York
5057,108 West 24th Street,,,True,2,+1 212-414-1000,4.00,2772,New York
5058,11 East 31st Street,,,True,2,+1 212-806-7000,4.00,912,New York
5059,11 Howard Street,,,True,2,+1 212-235-1111,4.00,1020,New York
5060,"11-01 43rd Avenue, Long Island City",,,True,2,+1 212-319-7000,4.00,2800,New York
5061,6 Water Street,2019-03-09,2019-03-10,True,2,+1 212-248-1100,4.00,180,New York
5062,100 Greenwich Street,,,True,3,+1 917-409-0800,4.40,1740,New York
5063,"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,True,3,+1 718-512-0248,4.20,3024,New York
5064,"100-33 Ditmars Boulevard, East Elmhurst",,,True,3,+1 718-606-7400,4.00,1560,New York
5065,"102-05 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,True,3,+1 718-565-8900,3.90,1440,New York
5066,"102-40 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,True,3,+1 718-672-6600,4.10,945,New York
5067,103 Waverly Place,,,False,3,+1 212-777-9515,4.40,810,New York
5068,1033 6th Avenue,,,True,3,+1 212-768-0007,4.20,1860,New York
5069,"104-04 Ditmars Boulevard, East Elmhurst",,,True,3,+1 718-457-6300,4.00,3150,New York
5070,108 West 24th Street,,,True,3,+1 212-414-1000,4.20,2772,New York
5071,"1080 Broadway, Brooklyn",,,False,3,+1 718-715-4850,4.00,936,New York
5072,103 Waverly Place,,,False,2,+1 212-777-9515,4.00,810,New York
5073,30 West 31st Street,2019-03-03,2019-03-06,False,2,+1 212-330-1234,4.00,1044,New York
5074,225 North Wabash Avenue,2019-03-09,2019-03-13,True,1,+1 312-960-8500,4.50,1440,Chicago
5075,1414 West Peachtree Street Northwest,,,True,5,+1 404-685-1677,4.60,2240,Atlanta
5076,789 Ponce De Leon Avenue Northeast,,,False,5,+1 470-485-0485,4.60,2000,Atlanta
5077,800 Spring Street Northwest,,,True,5,+1 404-347-9440,4.60,435,Atlanta
5078,"Eighty-Eight, West Paces Ferry Road Northwest",,,True,1,+1 404-563-7900,4.60,960,Atlanta
5079,789 Ponce De Leon Avenue Northeast,2019-03-10,2019-03-11,False,2,+1 470-485-0485,4.60,432,Atlanta
5080,"1 Rue Bayard, 75008",,,True,1,+33 1 53 75 62 62,3.90,1950,Paris
5081,"1 Rue Daunou, 75002",,,True,1,+33 1 42 61 70 41,3.90,1500,Paris
5082,"1 Rue de Libourne, 75012",,,True,1,+33 1 44 67 34 00,3.90,680,Paris
5083,"1-5 Passage Ruelle, 75018",,,True,1,+33 1 42 05 20 00,3.90,1800,Paris
5084,"10 Place Charles Dullin, 75018",,,True,1,+33 1 42 57 14 55,3.90,540,Paris
5085,"10 Place de Mexico, 75116",,,True,1,+33 1 56 90 40 04,3.90,2576,Paris
5086,"10 Rue de Passy, 75016",,,True,1,+33 1 45 25 55 66,3.90,528,Paris
5087,"10 Rue du Champ de Mars, 75007",,,True,1,+33 1 40 62 67 00,3.90,304,Paris
5088,"10 Rue du Conservatoire, 75009",,,True,1,+33 1 47 70 50 83,3.90,2304,Paris
5089,"102 Avenue Victor Hugo, 75116",,,True,1,+33 800 91 91 30,3.90,304,Paris
5090,"1 Rue Bayard, 75008",,,True,1,+33 1 53 75 62 62,4.40,1950,Paris
5091,"10 Rue de Passy, 75016",,,True,1,+33 1 45 25 55 66,4.40,528,Paris
5092,"12 Rue de Marignan, 75008",,,True,1,+33 1 40 76 34 56,4.40,500,Paris
5093,"14 Rue Beaujon, 75008",,,True,1,+33 1 53 89 50 50,4.40,960,Paris
5094,"15 Rue Boissy d'Anglas, 75008",,,True,1,+33 1 44 94 14 14,4.40,4340,Paris
5095,"15 Rue Edouard Manet, 75013",,,True,1,+33 1 45 86 35 99,4.40,1344,Paris
5096,"18 Rue du Cirque, 75008",,,True,1,+33 1 43 87 10 10,4.40,3840,Paris
5097,"19 Rue du Champ de Mars, 75007",,,True,1,+33 1 47 05 25 45,4.40,360,Paris
5098,"2 Rue de Parme, 75009",,,True,1,+33 1 53 16 33 33,4.40,336,Paris
5099,"28 Rue Saint-Roch, 75001",,,True,1,+33 1 70 83 00 00,4.40,1890,Paris
5100,"18 Rue du Cirque, 75008",2019-03-12,2019-03-13,True,1,+33 1 43 87 10 10,4.40,315,Paris
5101,"11350 Burbank Boulevard, North Hollywood, California 91601, United States",2019-03-01,2019-03-04,True,1,+1 818-821-8031,4.30,384,Los Angeles
5102,1485 Bush Street,,,False,1,+1 415-287-3657,3.30,480,San Francisco
5103,165 Steuart Street,,,False,1,+1 415-882-1300,4.10,1380,San Francisco
5104,235 O'Farrell Street,2019-03-04,2019-03-05,False,1,+1 415-951-1500,4.10,152,San Francisco
5105,"41/43 Avenue Ledru-Rollin, 75012",2019-03-04,2019-03-09,True,4,+33 1 53 02 30 30,4.00,2400,Paris
5106,405 Taylor Street,2019-03-04,2019-03-08,True,1,+1 415-885-2500,4.00,912,San Francisco
5107,1095 Market Street,,,True,4,+1 415-829-0000,3.90,2100,San Francisco
5108,"1100 Market Street Hotel entrance is at, 45 McAllister Street",,,True,4,+1 415-735-7777,3.90,500,San Francisco
5109,12 4th Street,,,True,4,+1 415-348-1111,3.90,832,San Francisco
5110,138 King Street,,,True,4,+1 415-200-4977,3.90,2500,San Francisco
5111,155 Steuart Street,,,True,4,+1 415-495-2100,3.90,3255,San Francisco
5112,165 Steuart Street,,,False,4,+1 415-882-1300,3.90,1380,San Francisco
5113,1800 Sutter Street,,,True,4,+1 415-921-4000,3.90,2100,San Francisco
5114,2095 Lombard Street,,,False,4,+1 415-563-5600,3.90,1860,San Francisco
5115,2222 Market Street,,,True,4,+1 415-621-8212,3.90,528,San Francisco
5116,2237 Mason Street,,,True,4,+1 415-776-8688,3.90,432,San Francisco
5117,2222 Market Street,2019-03-04,2019-03-07,True,4,+1 415-621-8212,3.90,528,San Francisco
5118,165 Steuart Street,,,False,1,+1 415-882-1300,3.50,1380,San Francisco
5119,655 Ellis Street,2019-03-02,2019-03-06,True,1,+1 415-771-3000,3.50,348,San Francisco
5120,3600 North 2nd Avenue,2019-03-12,2019-03-14,True,1,+1 602-904-6622,3.50,792,Phoenix
5121,1101 4th Avenue,2019-03-02,2019-03-06,True,1,+1 206-621-1770,4.40,2560,Seattle
5122,320 North Michigan Avenue,2019-03-02,2019-03-03,False,2,+1 312-776-2509,4.20,348,Chicago
5123,97 10th Street Northwest,2019-03-04,2019-03-09,True,4,+1 404-524-4076,4.20,2040,Atlanta
5124,101 Andrew Young International Boulevard Northwest,,,True,3,+1 404-524-5555,4.00,348,Atlanta
5125,1065 Peachtree Street Northeast,,,True,3,+1 404-745-5000,4.00,4200,Atlanta
5126,110 Marietta Street NorthWest,,,True,3,+1 404-521-2250,4.00,4032,Atlanta
5127,1302 West Peachtree Street Northwest,,,True,3,+1 404-876-6100,4.00,3024,Atlanta
5128,1414 West Peachtree Street Northwest,,,True,3,+1 404-685-1677,4.00,2240,Atlanta
5129,160 Ted Turner Drive Northwest,,,True,3,+1 404-688-8600,4.00,1035,Atlanta
5130,161 Ted Turner Drive Northwest,,,True,3,+1 404-589-1111,4.00,2790,Atlanta
5131,165 Courtland Street Northeast,,,True,3,+1 404-659-6500,4.00,576,Atlanta
5132,188 14th Street NE,,,True,3,+1 404-892-6000,4.00,528,Atlanta
5133,23 Linden Avenue Northwest,,,True,3,+1 404-877-9495,4.00,1134,Atlanta
