,address_of_location,category,city_of_event,date,event_location,event_name,subcategory,time,number_of_seats
1562,333 West 35th Street,Sports,Chicago,2019-03-06,Guaranteed Rate Field,White Sox Vs Astros,Baseball,18:30,
1563,333 West 35th Street,Sports,Chicago,2019-03-06,Guaranteed Rate Field,White Sox Vs Indians,Baseball,20:00,
1564,333 West 35th Street,Sports,Chicago,2019-03-06,Guaranteed Rate Field,White Sox Vs Tigers,Baseball,19:30,
1565,333 West 35th Street,Sports,Chicago,2019-03-06,Guaranteed Rate Field,White Sox Vs Twins,Baseball,20:00,
1566,1060 West Addison Street,,Chicago,2019-03-06,Wrigley Field,Cubs Vs Brewers,,18:30,1
1567,"141 Prospect Park West, Brooklyn",,New York,2019-03-09,Prospect Park Bandshell,Jason Isbell,,18:00,3
1568,777 Pacific Boulevard,,Vancouver,2019-03-04,BC Place,Whitecaps Vs Colorado Rapids,,18:30,4
1569,3911 Figueroa Street,,Los Angeles,2019-03-03,LA Memorial Coliseum,Trojans Vs Bulldogs,,20:30,3
1570,401 East Jefferson Street,Sports,Phoenix,2019-03-13,Chase Field,Arizona Vs La Dodgers,Baseball,19:00,
1571,401 East Jefferson Street,Sports,Phoenix,2019-03-13,Chase Field,Diamondbacks Vs Giants,Baseball,20:00,
1572,401 East Jefferson Street,Sports,Phoenix,2019-03-13,Chase Field,Diamondbacks Vs Mets,Baseball,19:30,
1573,401 East Jefferson Street,Sports,Phoenix,2019-03-13,Chase Field,Diamondbacks Vs Nationals,Baseball,20:00,
1574,401 East Jefferson Street,Sports,Phoenix,2019-03-13,Chase Field,Diamondbacks Vs Orioles,Baseball,18:00,
1575,401 East Jefferson Street,,Phoenix,2019-03-13,Chase Field,Arizona Vs La Dodgers,,19:00,4
1576,7000 Coliseum Way,,Oakland,2019-03-01,Oakland-Alameda County Coliseum,Raiders Vs Bengals,,20:00,2
1577,1600 Exposition Boulevard,Sports,Sacramento,2019-03-13,Papa Murphy's Park,Republic Vs Toros,Football,20:00,
1578,1600 Exposition Boulevard,,Sacramento,2019-03-13,Papa Murphy's Park,Republic Vs Toros,,20:00,3
1579,1422 Southwest 11th Avenue,Music,Portland,2019-03-03,The Old Church Concert Hall,Damien Jurado,Blues,19:30,
1580,1016-1098 North Center Court Street,Music,Portland,2019-03-03,Theater Of The Clouds,Hozier,Blues,19:00,
1581,1111 Southwest Broadway,,Portland,2019-03-03,Newmark Theatre,Erica Fernandez,,18:30,3
1582,1 Lincoln Financial Field Way,,Philadelphia,2019-03-09,Lincoln Financial Field,Owls Vs Bison,,20:30,3
1583,800 Occidental Avenue South,,Seattle,2019-03-06,CenturyLink Field,Sounders Vs Timbers,,19:00,3
1584,1060 West Addison Street,,Chicago,2019-03-06,Wrigley Field,Cubs Vs Brewers,,18:30,2
1585,1280 Peachtree Street Northeast,,Atlanta,2019-03-01,Atlanta Symphony Orchestra,Emmylou Harris,,18:00,2
1586,777 Valencia Street,,San Francisco,2019-03-08,The Chapel,Remo Drive,,18:30,2
1587,24 Willie Mays Plaza,,San Francisco,2019-03-05,Oracle Park,Giants Vs Cardinals,,18:30,4
1588,2047 North Milwaukee Avenue,Music,Chicago,2019-03-10,Concord Music Hall,New Found Glory,Pop,19:00,
1589,2033 West North Avenue,Music,Chicago,2019-03-10,Chop Shop,The Buttertones,Rock,20:00,
1590,1 AMB Drive Northwest,Sports,Atlanta,2019-03-10,Mercedes-Benz Stadium,Falcons Vs Jaguars,American Football,19:00,
1591,755 Hank Aaron Drive Southeast,Sports,Atlanta,2019-03-10,Georgia State Stadium,Panthers Vs Jaguars,Basketball,19:00,
1592,1 AMB Drive Northwest,Sports,Atlanta,2019-03-10,Mercedes-Benz Stadium,United Vs Revolution,Football,20:00,
1593,177 North Avenue Northwest,Sports,Atlanta,2019-03-10,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Bulls,American Football,18:30,
1594,177 North Avenue Northwest,Sports,Atlanta,2019-03-10,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Hokies,American Football,19:30,
1595,177 North Avenue Northwest,Sports,Atlanta,2019-03-10,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Panthers,American Football,19:30,
1596,1 AMB Drive Northwest,,Atlanta,2019-03-10,Mercedes-Benz Stadium,Falcons Vs Jaguars,,19:00,4
1597,3800 Montlake Boulevard Northeast,,Seattle,2019-03-06,Husky Stadium,Huskies Vs Utes,,18:30,2
1598,5500 Campanile Drive,,San Diego,2019-03-05,Cal Coast Credit Union Amphitheater,Hozier,,19:30,4
1599,401 East Jefferson Street,,Phoenix,2019-03-09,Chase Field,Arizona Vs Milwaukee,,20:00,2
1600,235 West 46th Street,,New York,2019-03-10,Sony Hall,Buddy Guy,,19:30,1
1601,401 West Van Buren Street,Music,Phoenix,2019-03-10,The Van Buren,Greensky Bluegrass,Blues,19:00,
1602,401 West Van Buren Street,Music,Phoenix,2019-03-10,The Van Buren,Johnnyswim,Blues,18:30,
1603,130 North Central Avenue,Music,Phoenix,2019-03-10,Valley Bar,The Chats,Rock,18:30,
1604,401 West Van Buren Street,Music,Phoenix,2019-03-10,The Van Buren,The Drums,Pop,20:00,
1605,401 West Van Buren Street,,Phoenix,2019-03-09,The Van Buren,The Drums,,19:30,2
1606,1 AMB Drive Northwest,,Atlanta,2019-03-12,Mercedes-Benz Stadium,United Vs Red Bulls,,18:30,3
1607,319 Main Street,Music,Vancouver,2019-03-10,Imperial Vancouver,Last Dinosaurs,Electronica,19:30,
1608,2901 East Hastings Street,Music,Vancouver,2019-03-10,PNE Amphitheatre,Styx,Rock,18:30,
1609,2901 East Hastings Street,,Vancouver,2019-03-10,PNE Amphitheatre,Styx,,18:30,3
1610,1016-1098 North Center Court Street,,Portland,2019-03-02,Theater Of The Clouds,Bryan Adams,,20:30,3
1611,2901 East Hastings Street,Music,Vancouver,2019-03-08,PNE Amphitheatre,Zz Top,Blues,20:00,
1612,89 South Street,Music,New York,2019-03-12,Pier 17,Ben Harper,Blues,18:30,
1613,235 West 46th Street,Music,New York,2019-03-12,Sony Hall,Buddy Guy,Blues,18:30,
1614,"1 Tennis Place, Forest Hills",Music,New York,2019-03-12,Forest Hills Stadium,Chemical Brothers,Rock,19:30,
1615,235 West 46th Street,Music,New York,2019-03-12,Sony Hall,Harlem Gospel Choir,Christian,18:00,
1616,"141 Prospect Park West, Brooklyn",Music,New York,2019-03-12,Prospect Park Bandshell,Jason Isbell,Country,20:00,
1617,"1 Tennis Place, Forest Hills",Music,New York,2019-03-12,Forest Hills Stadium,Jethro Tull,Rock,18:00,
1618,235 West 46th Street,Music,New York,2019-03-12,Sony Hall,Lyfe Jennings,Blues,18:00,
1619,"Peter Jay Sharp Building, 30 Lafayette Avenue, Brooklyn",Music,New York,2019-03-12,BAM Howard Gilman Opera House,Madonna Brooklyn,Pop,19:00,
1620,89 South Street,,New York,2019-03-12,Pier 17,Ben Harper,,18:30,2
1621,401 East Jefferson Street,,Phoenix,2019-03-09,Chase Field,Arizona Vs Milwaukee,,20:00,3
1622,1720 East 16th Street,Music,Los Angeles,2019-03-02,1720(tm),Gloryhammer,Rock,20:30,
1623,1234 West 7th Street,Music,Los Angeles,2019-03-02,The Teragram Ballroom,Murder City Devils,Rock,20:30,
1624,29 East Allen Street,,Philadelphia,2019-03-02,The Fillmore Philadelphia,Nav With Killy,,18:00,4
1625,1 AMB Drive Northwest,,Atlanta,2019-03-04,Mercedes-Benz Stadium,Falcons Vs Buccaneers,,19:30,1
1626,"141 Prospect Park West, Brooklyn",,New York,2019-03-10,Prospect Park Bandshell,Mac Demarco,,18:00,2
1627,1 AMB Drive Northwest,,Atlanta,2019-03-09,Mercedes-Benz Stadium,Falcons Vs Jaguars,,18:00,1
1628,"104 N. Ave 56, 2nd Floor",,Los Angeles,2019-03-08,Lodge Room,Bill Callahan,,20:30,4
1629,1530 Disneyland Monrail System,Music,Anaheim,2019-03-02,Crossroads at House of Blues Anaheim,Brown Sabbath,Funk,20:30,
1630,1530 Disneyland Monrail System,,Anaheim,2019-03-02,Crossroads at House of Blues Anaheim,Brown Sabbath,,20:30,2
1631,1 Lincoln Financial Field Way,Sports,Philadelphia,2019-03-08,Lincoln Financial Field,Owls Vs Huskies,American Football,19:00,
1632,1 Lincoln Financial Field Way,Sports,Philadelphia,2019-03-08,Lincoln Financial Field,Owls Vs Tigers,American Football,18:00,
1633,1 Lincoln Financial Field Way,,Philadelphia,2019-03-08,Lincoln Financial Field,Owls Vs Huskies,,19:00,4
1634,1 Blue Jays Way,,Toronto,2019-03-08,Rogers Centre,Blue Jays Vs Braves,,20:00,1
1635,123-01 Roosevelt Avenue,,New York,2019-03-08,Citi Field,Mets Vs Indians,,19:30,4
1636,178 Junction Road,Music,London,2019-03-07,Boston Music Room,Beyond The Black,Rock,18:00,
1637,Town Hall Parade,Music,London,2019-03-07,Electric Brixton,Wallows,Rock,19:30,
1638,Town Hall Parade,,London,2019-03-07,Electric Brixton,Wallows,,19:30,3
1639,3800 Montlake Boulevard Northeast,,Seattle,2019-03-06,Husky Stadium,Huskies Vs Utes,,18:30,3
1640,5500 Campanile Drive,,San Diego,2019-03-06,Cal Coast Credit Union Amphitheater,Alejandro Sanz,,18:30,1
1641,29 East Allen Street 2nd Floor,Music,Philadelphia,2019-03-04,The Foundry,Girl In Red,Pop,18:30,
1642,858 North Broad Street,Music,Philadelphia,2019-03-04,The Met Philadelphia,Toto,Pop,20:30,
1643,29 East Allen Street 2nd Floor,Music,Philadelphia,2019-03-04,The Foundry,Tuxedo,Pop,20:30,
1644,29 East Allen Street 2nd Floor,,Philadelphia,2019-03-04,The Foundry,Girl In Red,,18:30,2
1645,29 East Allen Street,,Philadelphia,2019-03-02,The Fillmore Philadelphia,Blueface,,19:00,2
1646,3939 South Figueroa Street,Sports,Los Angeles,2019-03-08,Banc of California Stadium,Lafc Vs Atlanta United,Football,18:30,
1647,3911 Figueroa Street,Sports,Los Angeles,2019-03-08,LA Memorial Coliseum,Rams Vs Cardinals,American Football,19:00,
1648,2891 University Avenue,Music,San Diego,2019-03-06,The Observatory North Park,Aly And Aj,Pop,20:00,
1649,5500 Campanile Drive,Music,San Diego,2019-03-06,Cal Coast Credit Union Amphitheater,Greta Van Fleet,Blues,20:30,
1650,3090 Polk Avenue,Music,San Diego,2019-03-06,The Irenic,Pup,Rock,19:00,
1651,2891 University Avenue,Music,San Diego,2019-03-06,The Observatory North Park,The Hives,Rock,20:00,
1652,2891 University Avenue,Music,San Diego,2019-03-06,The Observatory North Park,Tuxedo,Pop,19:30,
1653,5500 Campanile Drive,Music,San Diego,2019-03-06,Cal Coast Credit Union Amphitheater,Vampire Weekend,Pop,18:30,
1654,24 Willie Mays Plaza,Sports,San Francisco,2019-03-02,Oracle Park,Giants Vs Dodgers,Baseball,19:00,
1655,24 Willie Mays Plaza,Sports,San Francisco,2019-03-02,Oracle Park,Giants Vs Marlins,Baseball,20:00,
1656,24 Willie Mays Plaza,Sports,San Francisco,2019-03-02,Oracle Park,Giants Vs Nationals,Baseball,18:00,
1657,401 East Jefferson Street,Sports,Phoenix,2019-03-01,Chase Field,Diamondbacks Vs Brewers,Baseball,18:00,
1658,401 East Jefferson Street,Sports,Phoenix,2019-03-01,Chase Field,Diamondbacks Vs Cardinals,Baseball,19:30,
1659,401 East Jefferson Street,Sports,Phoenix,2019-03-01,Chase Field,Diamondbacks Vs Marlins,Baseball,20:30,
1660,401 East Jefferson Street,Sports,Phoenix,2019-03-01,Chase Field,Diamondbacks Vs Orioles,Baseball,18:00,
1661,401 East Jefferson Street,Sports,Phoenix,2019-03-01,Chase Field,Diamondbacks Vs Reds,Baseball,18:30,
1662,319 Main Street,Music,Vancouver,2019-03-02,Imperial Vancouver,Last Dinosaurs,Electronica,20:00,
1663,5500 Campanile Drive,Music,San Diego,2019-03-01,Cal Coast Credit Union Amphitheater,Alejandro Sanz,International,18:30,
1664,5500 Campanile Drive,Music,San Diego,2019-03-01,Cal Coast Credit Union Amphitheater,Bastille,Pop,20:30,
1665,5500 Campanile Drive,Music,San Diego,2019-03-01,Cal Coast Credit Union Amphitheater,Jon Bellion,Hip Hop,19:00,
1666,5500 Campanile Drive,Music,San Diego,2019-03-01,Cal Coast Credit Union Amphitheater,Lizzo,Hip Hop,19:00,
1667,2891 University Avenue,Music,San Diego,2019-03-01,The Observatory North Park,Local Natives,Rock,20:30,
1668,2891 University Avenue,Music,San Diego,2019-03-01,The Observatory North Park,The Struts,Rock,20:30,
1669,2891 University Avenue,Music,San Diego,2019-03-01,The Observatory North Park,Through The Roots,International,18:30,
1670,5500 Campanile Drive,Music,San Diego,2019-03-01,Cal Coast Credit Union Amphitheater,Vampire Weekend,Pop,19:30,
1671,1100 Oak Drive SE,Sports,Washington D.C.,2019-03-03,Entertainment & Sports Arena,Washington Vs Ny Liberty,Basketball,18:30,
1672,29 East Allen Street,Music,Philadelphia,2019-03-01,The Fillmore Philadelphia,Blueface,Hip Hop,20:30,
1673,29 East Allen Street 2nd Floor,Music,Philadelphia,2019-03-01,The Foundry,Don Broco,Rock,20:30,
1674,29 East Allen Street,Music,Philadelphia,2019-03-01,The Fillmore Philadelphia,Nav With Killy,Hip Hop,18:00,
1675,29 East Allen Street 2nd Floor,Music,Philadelphia,2019-03-01,The Foundry,Northlane,Rock,20:00,
1676,1200 Callowhill Street,Music,Philadelphia,2019-03-01,Underground Arts,The Melvins,Rock,20:30,
1677,29 East Allen Street 2nd Floor,Music,Philadelphia,2019-03-01,The Foundry,Tuxedo,Pop,18:30,
1678,50 Upper Alabama Street,Music,Atlanta,2019-03-04,Kenny's Alley,Gorgasm,Rock,19:00,
1679,50 Upper Alabama Street,Music,Atlanta,2019-03-04,Kenny's Alley,Taking Back Sunday,Rock,19:00,
1680,1374 West Peachtree Street Northwest,Music,Atlanta,2019-03-04,The Loft,The Cinematic Orchestra,Electronica,19:00,
1681,755 Hank Aaron Drive Southeast,Sports,Atlanta,2019-03-04,Georgia State Stadium,Panthers Vs Paladins,Basketball,19:00,
1682,755 Hank Aaron Drive Southeast,Sports,Atlanta,2019-03-04,Georgia State Stadium,Panthers Vs Trojans,Basketball,18:00,
1683,"740 Water Street Southwest, Washington, District of Columbia 20024, United States",Music,Washington D.C.,2019-03-09,Union Stage,Carbon Leaf,Blues,19:30,
1684,"2700 F Street Northwest, Washington, District of Columbia 20566, United States",Music,Washington D.C.,2019-03-09,Family Theater,Freestyle Love Supreme,Hip Hop,18:00,
1685,"33 Pearl Street Southwest, Washington, District of Columbia 20024, United States",Music,Washington D.C.,2019-03-09,Pearl Street Warehouse,Nicole Belanus Washington,Blues,18:00,
1686,3421 Cleveland Avenue,,Santa Rosa,2019-03-12,The Sandman Hotel,Huichica Music Festival,,19:30,2
1687,1030 Main Street,,Napa,2019-03-01,Blue Note Napa,Water Seed,,18:30,2
1688,2367 Shattuck Avenue,,Berkeley,2019-03-11,Cornerstone Craft Beer & Live Music,The Original Wailers,,20:00,3
1689,777 Valencia Street,,San Francisco,2019-03-12,The Chapel,Remo Drive,,19:00,1
1690,2367 Shattuck Avenue,,Berkeley,2019-03-04,Cornerstone Craft Beer & Live Music,Chris Webby,,19:00,3
1691,420 Mason Street,,San Francisco,2019-03-02,August Hall,Electric Feels,,20:30,4
1692,1030 Main Street,,Napa,2019-03-08,Blue Note Napa,Roy Ayers,,18:00,3
1693,420 Mason Street,,San Francisco,2019-03-14,August Hall,Electric Feels,,20:00,1
1694,201 Van Ness Avenue,,San Francisco,2019-03-09,San Francisco Symphony,Carmina Burana,,18:30,3
1695,420 Mason Street,,San Francisco,2019-03-13,August Hall,Matt Corby,,20:30,2
1696,2367 Shattuck Avenue,,Berkeley,2019-03-12,Cornerstone Craft Beer & Live Music,Chris Webby,,20:30,1
1697,2367 Shattuck Avenue,,Berkeley,2019-03-02,Cornerstone Craft Beer & Live Music,Chris Webby,,18:00,1
1698,777 Valencia Street,,San Francisco,2019-03-07,The Chapel,Okkervil River,,18:00,2
1699,1030 Main Street,,Napa,2019-03-05,Blue Note Napa,Jon B,,18:00,2
1700,24 Willie Mays Plaza,,San Francisco,2019-03-08,Oracle Park,Giants Vs Cardinals,,18:30,4
1701,24 Willie Mays Plaza,,San Francisco,2019-03-09,Oracle Park,Giants Vs Nationals,,20:00,2
1702,24 Willie Mays Plaza,,San Francisco,2019-03-05,Oracle Park,Giants Vs Phillies,,20:30,3
1703,500 Terry A Francois Boulevard Suite 73,,San Francisco,2019-03-03,Chase Center Experience,Celine Dion,,18:00,4
1704,1030 Main Street,,Napa,2019-03-09,Blue Note Napa,Jon B,,18:00,1
1705,420 Mason Street,,San Francisco,2019-03-13,August Hall,Allan Rayman,,20:00,3
1706,2367 Shattuck Avenue,,Berkeley,2019-03-12,Cornerstone Craft Beer & Live Music,Phutureprimitive,,20:30,2
1707,"Brisbane, California 94005, United States",,Brisbane,2019-03-07,Brisbane Community Park,Star City Music Festival,,19:00,4
1708,7000 Coliseum Way,,Oakland,2019-03-02,Oakland-Alameda County Coliseum,Raiders Vs Lions,,19:30,4
1709,3421 Cleveland Avenue,,Santa Rosa,2019-03-09,The Sandman Hotel,Huichica Music Festival,,18:00,3
1710,1030 Main Street,,Napa,2019-03-03,Blue Note Napa,Mandy Harvey,,20:30,2
1711,1145 Coleman Avenue,,San Jose,2019-03-12,Avaya Stadium,Cruz Azul Vs Atlas,,20:30,3
1712,24 Willie Mays Plaza,,San Francisco,2019-03-02,Oracle Park,Giants Vs Marlins,,20:00,1
1713,24 Willie Mays Plaza,,San Francisco,2019-03-10,Oracle Park,Giants Vs Marlins,,20:30,4
1714,1030 Main Street,,Napa,2019-03-12,Blue Note Napa,Water Seed,,18:30,4
1715,2367 Shattuck Avenue,,Berkeley,2019-03-13,Cornerstone Craft Beer & Live Music,Chris Webby,,19:00,3
1716,500 Terry A Francois Boulevard Suite 73,,San Francisco,2019-03-11,Chase Center Experience,Cher,,20:00,3
1717,2367 Shattuck Avenue,,Berkeley,2019-03-07,Cornerstone Craft Beer & Live Music,Jonathan Mcreynolds,,20:30,2
1718,24 Willie Mays Plaza,,San Francisco,2019-03-06,Oracle Park,Giants Vs Dodgers,,18:00,2
1719,7000 Coliseum Way,,Oakland,2019-03-09,Oakland-Alameda County Coliseum,Raiders Vs Lions,,19:30,1
1720,777 Valencia Street,,San Francisco,2019-03-12,The Chapel,Remo Drive,,19:00,2
1721,24 Willie Mays Plaza,,San Francisco,2019-03-13,Oracle Park,Giants Vs Diamondbacks,,20:00,2
1722,24 Willie Mays Plaza,,San Francisco,2019-03-05,Oracle Park,Giants Vs Phillies,,19:30,4
1723,3421 Cleveland Avenue,,Santa Rosa,2019-03-02,The Sandman Hotel,Huichica Music Festival,,20:00,2
1724,201 Van Ness Avenue,,San Francisco,2019-03-12,San Francisco Symphony,Carmina Burana,,20:30,2
1725,7000 Coliseum Way,,Oakland,2019-03-05,Oakland-Alameda County Coliseum,Raiders Vs Bengals,,18:00,2
1726,2367 Shattuck Avenue,,Berkeley,2019-03-12,Cornerstone Craft Beer & Live Music,Chris Webby,,20:30,3
1727,3421 Cleveland Avenue,,Santa Rosa,2019-03-09,The Sandman Hotel,Huichica Music Festival,,18:00,1
1728,7000 Coliseum Way,,Oakland,2019-03-10,Oakland-Alameda County Coliseum,Raiders Vs Lions,,19:00,4
1729,500 Terry A Francois Boulevard Suite 73,,San Francisco,2019-03-06,Chase Center Experience,Celine Dion,,19:00,4
1730,3421 Cleveland Avenue,,Santa Rosa,2019-03-02,The Sandman Hotel,Huichica Music Festival,,20:00,1
1731,7000 Coliseum Way,,Oakland,2019-03-09,Oakland-Alameda County Coliseum,Raiders Vs Bengals,,20:30,4
1732,24 Willie Mays Plaza,,San Francisco,2019-03-05,Oracle Park,Giants Vs Phillies,,20:30,2
1733,420 Mason Street,,San Francisco,2019-03-05,August Hall,Allan Rayman,,20:30,2
1734,2367 Shattuck Avenue,,Berkeley,2019-03-01,Cornerstone Craft Beer & Live Music,Nattali Rize,,20:00,4
1735,420 Mason Street,,San Francisco,2019-03-03,August Hall,Matt Corby,,18:00,2
1736,24 Willie Mays Plaza,,San Francisco,2019-03-05,Oracle Park,Giants Vs Phillies,,20:30,1
1737,1145 Coleman Avenue,,San Jose,2019-03-11,Avaya Stadium,Cruz Azul Vs Atlas,,19:30,1
1738,201 Van Ness Avenue,,San Francisco,2019-03-13,San Francisco Symphony,Carmina Burana,,20:30,4
1739,420 Mason Street,,San Francisco,2019-03-12,August Hall,Allan Rayman,,18:30,2
1740,"Brisbane, California 94005, United States",,Brisbane,2019-03-10,Brisbane Community Park,Star City Music Festival,,20:30,2
1741,5050 Arroyo Road,,Livermore,2019-03-07,Concerts at Wente Vineyards,Josh Groban,,19:30,1
1742,777 Valencia Street,,San Francisco,2019-03-12,The Chapel,Remo Drive,,19:00,3
1743,2227 Piedmont Avenue,,Berkeley,2019-03-02,California Memorial Stadium,Golden Bears Vs Cougars,,20:30,1
1744,420 Mason Street,,San Francisco,2019-03-14,August Hall,Matt Corby,,19:30,3
1745,201 Van Ness Avenue,,San Francisco,2019-03-06,San Francisco Symphony,Carmina Burana,,20:30,2
1746,1 East 161 Street,,New York,2019-03-12,Yankee Stadium,Nycfc Vs Dynamo,,18:30,3
1747,1 East 161 Street,,New York,2019-03-10,Yankee Stadium,Yankees Vs Orioles,,19:00,4
1748,333 West 35th Street,,Chicago,2019-03-10,Guaranteed Rate Field,White Sox Vs Twins,,18:30,2
1749,1000 Vin Scully Ave,,Los Angeles,2019-03-08,Dodger Stadium,Dodgers Vs Cubs,,19:30,2
1750,1844 Southwest Morrison Street,,Portland,2019-03-05,Providence Park,Timbers Vs Dc United,,18:00,2
1751,401 East Jefferson Street,,Phoenix,2019-03-03,Chase Field,Diamondbacks Vs Reds,,20:00,2
1752,1 Blue Jays Way,,Toronto,2019-03-09,Rogers Centre,Blue Jays Vs Rangers,,20:30,2
1753,177 North Avenue Northwest,,Atlanta,2019-03-07,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Bulldogs,,19:30,4
1754,401 East Jefferson Street,,Phoenix,2019-03-07,Chase Field,Arizona Vs Milwaukee,,20:00,4
1755,29 East Allen Street 2nd Floor,,Philadelphia,2019-03-07,The Foundry,Lights,,18:30,4
1756,"1 Tennis Place, Forest Hills",,New York,2019-03-02,Forest Hills Stadium,Jethro Tull,,18:30,3
1757,1111 South Figueroa Street,,Los Angeles,2019-03-01,STAPLES Center,Sparks Vs Wings,,19:00,1
1758,777 Valencia Street,,San Francisco,2019-03-13,The Chapel,Thee Oh Sees,,18:00,1
1759,1234 West 7th Street,,Los Angeles,2019-03-02,The Teragram Ballroom,Murder City Devils,,20:30,3
1760,1280 Peachtree Street Northeast,,Atlanta,2019-03-02,Atlanta Symphony Orchestra,Emmylou Harris,,20:00,2
1761,24 Willie Mays Plaza,,San Francisco,2019-03-06,Oracle Park,Giants Vs Dodgers,,18:00,3
1762,1 Lincoln Financial Field Way,,Philadelphia,2019-03-08,Lincoln Financial Field,Owls Vs Knights,,20:30,3
1763,50 Upper Alabama Street,,Atlanta,2019-03-05,Kenny's Alley,Gorgasm,,18:00,4
1764,"Peter Jay Sharp Building, 30 Lafayette Avenue, Brooklyn",,New York,2019-03-02,BAM Howard Gilman Opera House,Madonna,,18:00,3
1765,235 West 46th Street,,New York,2019-03-06,Sony Hall,Vertical Horizon,,19:30,2
1766,401 East Jefferson Street,,Phoenix,2019-03-10,Chase Field,Diamondbacks Vs Cardinals,,20:00,2
1767,2891 University Avenue,,San Diego,2019-03-02,The Observatory North Park,Local Natives,,19:30,2
1768,1021 Peachtree Street Northeast,,Atlanta,2019-03-05,Ravine,Bonobo,,20:30,2
1769,235 West 46th Street,,New York,2019-03-02,Sony Hall,Chris Botti,,19:30,4
1770,1 East 161 Street,,New York,2019-03-12,Yankee Stadium,Nycfc Vs Timbers,,18:30,1
1771,1720 East 16th Street,,Los Angeles,2019-03-06,1720(tm),Spose,,20:30,1
1772,2047 North Milwaukee Avenue,,Chicago,2019-03-10,Concord Music Hall,New Found Glory,,19:00,1
1773,178 Junction Road,,London,2019-03-03,Boston Music Room,Crystal Lake,,19:30,1
1774,1250 1st Avenue South,,Seattle,2019-03-12,T-Mobile Park,Mariners Vs Angels,,20:00,3
1775,3090 Polk Avenue,,San Diego,2019-03-04,The Irenic,Pup,,18:00,3
1776,1000 Vin Scully Ave,,Los Angeles,2019-03-11,Dodger Stadium,Dodgers Vs Cubs,,19:00,2
1777,29 East Allen Street,,Philadelphia,2019-03-02,The Fillmore Philadelphia,Lauv,,19:30,2
1778,1 AMB Drive Northwest,,Atlanta,2019-03-13,Mercedes-Benz Stadium,United Vs Earthquakes,,20:30,1
1779,123-01 Roosevelt Avenue,,New York,2019-03-02,Citi Field,Mets Vs Dodgers,,19:00,1
1780,1 Lincoln Financial Field Way,Sports,Philadelphia,2019-03-13,Lincoln Financial Field,Owls Vs Bison,American Football,18:00,
1781,1100 Valley House Drive,Music,Rohnert Park,2019-03-13,SOMO Village Event Center,Aaron Lewis,Country,20:30,
1782,"1 Tennis Place, Forest Hills",Music,New York,2019-03-14,Forest Hills Stadium,Jojo Siwa,Pop,18:00,
1783,3911 Figueroa Street,Sports,Los Angeles,2019-03-03,LA Memorial Coliseum,Rams Vs Cardinals,American Football,18:30,
1784,3911 Figueroa Street,Sports,Los Angeles,2019-03-03,LA Memorial Coliseum,Usc Vs Oregon,American Football,18:00,
1785,3911 Figueroa Street,Sports,Los Angeles,2019-03-03,LA Memorial Coliseum,Usc Vs Ucla,American Football,18:30,
1786,2901 East Hastings Street,Music,Vancouver,2019-03-14,PNE Amphitheatre,Styx,Rock,18:00,
1787,625 Nelson Road,Sports,Stanford,2019-03-09,Stanford Stadium,Cardinal Vs Wildcats,American Football,18:00,
1788,1111 South Figueroa Street,Sports,Los Angeles,2019-03-06,STAPLES Center,Sparks Vs Mystics,Basketball,20:00,
1789,1 Blue Jays Way,Sports,Toronto,2019-03-10,Rogers Centre,Blue Jays Vs Braves,Baseball,20:30,
1790,1 Blue Jays Way,Sports,Toronto,2019-03-10,Rogers Centre,Blue Jays Vs Rangers,Baseball,20:30,
1791,170 Princes' Boulevard,Sports,Toronto,2019-03-10,BMO Field,Toronto Fc Vs Crew,Football,19:00,
1792,170 Princes' Boulevard,Sports,Toronto,2019-03-10,BMO Field,Toronto Fc Vs Impact,Football,20:30,
1793,1517 21st Street,Music,Sacramento,2019-03-03,Holy Diver,Yunger,Electronica,18:30,
1794,178 Junction Road,Music,London,2019-03-12,Boston Music Room,Crystal Lake,Rock,19:30,
1795,451 Queensbridge Road,Music,London,2019-03-12,The Victoria Dalston,Imperial Daze,Pop,19:00,
1796,1844 Southwest Morrison Street,Sports,Portland,2019-03-01,Providence Park,Timbers Vs Earthquakes,Football,20:00,
1797,100 Potomac Avenue Southwest,Sports,Washington D.C.,2019-03-09,Audi Field,Dc United Vs Revolution,Football,20:00,
1798,2400 East Capitol Street Southeast,Sports,Washington D.C.,2019-03-09,RFK Stadium,El Salvador Vs Haiti,Football,20:00,
1799,601 F Street Northwest,Sports,Washington D.C.,2019-03-09,Capital One Arena,Mystics Vs Sky,Basketball,20:00,
1800,1100 Oak Drive SE,Sports,Washington D.C.,2019-03-09,Entertainment & Sports Arena,Mystics Vs Sun,Basketball,18:30,
1801,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-09,Nationals Park,Nationals Vs Rockies,Baseball,20:00,
1802,"740 Water Street Southwest, Washington, District of Columbia 20024, United States",,Washington D.C.,2019-03-09,Union Stage,Carbon Leaf,,19:30,4
1803,235 West 46th Street,,New York,2019-03-10,Sony Hall,Harlem Gospel Choir,,19:30,3
